wavelength,Back_ThrEpim,Belly_ThrEpim,Breast_ThrEpim,Crissum_ThrEpim,Crown_ThrEpim,DorTail_ThrEpim,Patch10_ThrEpim,Patch11_ThrEpim,Rump_ThrEpim,Throat_ThrEpim,WingTip_ThrEpim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,110.833333333,124.166666667,100.833333333,91.6666666665,89.9999999999,77.5,136.666666667,115.0,90.4166666666,82.4999999999,135.0
179.16,58.7302,53.3332666667,45.7144,37.1428666667,37.4603333333,39.6825333333,45.7142666667,56.5080666667,39.8413666667,47.6190666667,48.8888
179.54,-8.88893333334,17.0369333333,8.14820000001,-31.1111333333,-20.7408,0.74073333336,36.2964666667,22.2224666667,16.2964,2.963,24.4444
179.93,74.2857333334,122.857133333,91.4287333333,64.7619333333,103.809466667,107.619066667,120.000066667,131.428533333,87.1428666666,98.0952666667,121.904733333
180.31,55.5274666667,61.3924,55.4008666667,39.9156,46.962,46.5822666667,58.692,58.439,52.0253666667,55.0633333333,62.616
180.69,52.4242666667,57.9220666667,53.2034666667,35.1946666667,42.8137333333,42.4677333333,55.2379333333,55.4978,49.1341333334,52.3378666667,60.1298666667
181.07,49.4738,55.6141333333,52.193,30.8771333333,38.421,40.3949333333,50.6140666667,53.4209333333,46.3375666667,50.6139333333,58.2894666667
181.45,45.3138666667,53.3816666667,51.2560666667,27.2464,34.2029333333,36.9082,50.0966666667,52.2223333333,44.2029,47.971,59.2754
181.83,49.7260666667,56.3927333333,55.4337333333,32.1460666667,37.9908666667,40.5022,52.1004666667,55.1599333334,46.9178,51.4156,60.2739333333
182.21,50.8496,54.9892,56.8627333333,32.2004,37.2984666667,41.002,52.2440666667,51.6341333333,47.3639,51.6340666667,59.2157333333
182.59,49.1358,51.5226666667,56.7078,32.469,36.2138666667,40.7819333333,49.7530666667,51.605,46.9135,50.1647333333,57.2016
182.97,49.3764,49.0323333333,57.9355333334,29.8495333333,33.8496,39.9570666667,48.9462666667,52.5592666667,45.7420666667,49.5912666667,56.172
