wavelength,Back_ThrGlaf,Belly_ThrGlaf,Breast_ThrGlaf,Crissum_ThrGlaf,Crown_ThrGlaf,DorTail_ThrGlaf,Patch10_ThrGlaf,Patch11_ThrGlaf,Rump_ThrGlaf,Throat_ThrGlaf,WingTip_ThrGlaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,41.6666666665,-35.4166666667,-112.5,-35.300925926,-204.166666667,-91.6666666669,-175.0,-87.5,-158.333333333,-145.833333334,-20.8333333333
179.54,-113.888833333,-158.33325,-180.555666667,-105.883564815,-208.333166667,-127.777833334,-230.5555,-194.4445,-152.777666667,-144.444666666,-236.111333333
179.93,-72.2223333331,-72.2220833333,150.000166667,-144.753184028,61.1109999999,138.889,127.777833333,161.111,0.0,77.7776666666,161.11125
180.31,-30.0,-80.0,-104.166666667,-19.1811342592,-119.166666667,-117.5,-148.333333333,-132.916666667,-96.25,-66.25,-150.416666667
180.69,-49.2755000002,-94.0216666666,-115.579833333,-39.930480324,-126.449333334,-131.5215,-155.0725,-144.202666667,-107.608666667,-88.406,-157.4275
181.07,-22.5,-57.9166666667,-79.1668333334,-20.2448831018,-85.8331666666,-92.5000000001,-100.5555,-108.889,-65.5553333333,-55.0001666667,-106.944416666
181.45,-27.0115,-60.0574166666,-81.6091666665,-19.8077025463,-82.4713333334,-95.4023333331,-92.8161666667,-114.0805,-60.9196666667,-46.552,-123.562916667
181.83,-22.531,-64.3519166666,-80.247,-17.6377476852,-84.8766666667,-98.1481666665,-77.4691666667,-116.049333333,-53.395,-47.8395,-120.061666667
182.21,-9.84866666665,-53.9140833333,-54.293,-15.0585335648,-64.6465,-73.4850000001,-56.8183333333,-91.1616666668,-35.8586666667,-19.9496666666,-87.1214166666
182.59,-2.0833333333,-36.5625,-37.7083333333,0.08391203705,-49.375,-54.5833333333,-37.0833333333,-72.2916666667,-28.3333333333,-5.20833333335,-65.0
182.97,-11.6033333333,-37.0251666667,-46.2025,-3.65088310185,-53.3756666667,-59.9155,-43.8818333334,-80.8018333335,-28.9031666667,-8.439,-62.86925
183.35,-6.3926666667,-27.1690833333,-50.228,13.6715092593,-47.9451666666,-56.6206666666,-34.0183333334,-78.9953333334,-20.7761666666,-3.42433333335,-62.3285
183.73,1.42266666665,-18.9024166666,-42.4798333333,16.5397800926,-44.7155,-37.8048333334,-18.6991666667,-63.4146666667,-8.94316666667,4.87816666665,-44.51225
184.11,8.9553333333,-35.821,-54.229,10.3597106481,-62.4378333333,-47.5123333333,-16.4178333333,-79.8506666666,-9.20416666666,-1.2435,-61.8159166666
184.49,7.35933333335,-31.71,-47.6188333334,4.25975462965,-49.3506666667,-47.8355,-2.59750000002,-66.2338333334,0.433,0.000166666649999,-56.6018333334
184.87,21.8138333334,-30.2695,-53.9215,15.1635868055,-54.902,-43.8725,4.657,-65.9315,5.39216666669,17.8923333333,-61.8873333333
