wavelength,Back_ThrOrnm,Belly_ThrOrnm,Breast_ThrOrnm,Crissum_ThrOrnm,Crown_ThrOrnm,DorTail_ThrOrnm,Patch10_ThrOrnm,Patch11_ThrOrnm,Rump_ThrOrnm,Throat_ThrOrnm,WingTip_ThrOrnm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,82.8986666667,68.9854,85.5072666666,78.8405333333,82.8986666666,81.7392,71.3043999999,72.7536,66.6667333333,74.4926,73.623
179.16,560.0,153.333333333,426.666666667,433.333333333,340.0,266.666666667,326.666666667,486.666666667,239.999999999,93.3333333333,480.0
179.54,-70.4761333333,-75.2382,-82.8571333333,-63.8096,-32.3810666667,-85.7142666666,-38.0953333333,-80.9525333334,-78.0953333333,-60.9524666667,-58.0953333333
179.93,265.0,293.333333333,266.666666667,266.666666667,253.333333333,168.333333333,253.333333333,176.666666666,160.0,161.666666667,150.0
180.31,237.142866667,239.6826,244.444533333,259.0476,218.730266667,211.111133333,224.126866667,198.095266667,188.888733333,205.396733333,151.111066667
180.69,247.536133333,249.855,246.3768,262.028933333,231.304266667,217.1014,248.116,209.855133333,186.666666667,215.652,162.318866667
181.07,-371.7948,-364.102333333,-313.846066666,-383.589666667,-354.871866667,-294.871866667,-379.999866667,-312.8206,-286.153733333,-306.153933333,-187.692333333
181.45,-2870.0,-3066.66666667,-2556.66666667,-2996.66666667,-2830.0,-2640.0,-3006.66666667,-2490.0,-2453.33333333,-2720.0,-1750.0
181.83,-245.6,-262.666666667,-230.133333333,-252.533333333,-232.0,-225.333333333,-252.0,-213.066666667,-220.0,-230.933333333,-150.4
182.21,-139.099066667,-142.522466667,-123.603533333,-143.603533333,-130.0902,-129.7298,-140.1802,-117.837866667,-131.711666667,-140.720666667,-78.1982000001
182.59,-198.541666667,-199.166666667,-182.291666667,-204.583333334,-206.666666667,-198.333333333,-200.416666667,-178.958333333,-192.5,-196.875,-134.791666667
182.97,-174.095266666,-174.0954,-156.381133333,-164.761866667,-196.380866666,-177.3332,-170.666733333,-166.857066667,-164.571333333,-177.7142,-124.761933333
183.35,-390.0,-400.666666667,-352.0,-364.0,-403.666666667,-378.666666667,-365.333333333,-345.666666667,-365.666666667,-389.666666667,-298.333333333
183.73,-1401.90473333,-1425.71426666,-1279.04773333,-1319.04766667,-1437.14286666,-1331.42846666,-1344.76193333,-1179.04773333,-1279.04773333,-1352.38093333,-1137.14286667
184.11,-797.222133334,-812.777799999,-735.555533334,-774.999933334,-837.222333333,-786.111066667,-836.111066667,-670.0,-815.000066667,-811.111133333,-686.6668
184.49,-1784.44446667,-1746.66666667,-1664.44446666,-1714.44433333,-1831.11113333,-1781.1112,-1776.6666,-1458.88893333,-1826.66666667,-1767.77793333,-1552.2222
184.87,-7.00275623877e+15,-6.75113466868e+15,-6.50377787097e+15,-6.79378239243e+15,-7.08805168626e+15,-7.05819827964e+15,-6.66583922119e+15,-5.74038361595e+15,-7.28423121548e+15,-6.87054829517e+15,-6.1156835849e+15
185.25,456.1112,451.111,450.000066667,454.166666667,440.2778,457.222066667,433.888933333,373.6112,488.0556,454.444533334,414.1668
185.63,941.333333333,896.0,922.666666667,928.000000001,890.0,902.666666667,868.666666667,728.666666667,1001.33333333,901.999999999,862.0
186.01,338.333333334,319.375,328.333333333,335.208333333,327.291666667,328.958333334,315.833333333,271.458333333,358.333333333,326.041666667,322.916666667
186.39,258.6956,250.289933333,251.159466667,258.2608,251.883933333,258.550733333,240.289866667,213.768133333,277.9712,252.6086,249.420266667
186.77,459.697,427.575733333,425.1516,461.212133333,428.787933333,448.484866666,420.606133333,356.0606,497.878666667,442.121133333,442.1212
187.15,357.283933333,334.814933333,324.691466666,361.2344,323.950466667,342.962866667,327.160533333,254.568,388.889,352.345666667,329.1358
187.53,334.358933333,305.897333333,295.384666667,337.692333333,301.282066667,319.743533333,309.230733333,228.461466667,365.384666667,328.461466667,308.4616
187.91,522.564,449.2308,444.102466667,532.307666667,449.230933333,475.897533333,454.358933333,335.897466667,556.923066667,517.948666666,448.718066667
188.29,299.393866667,265.151466667,255.151533333,302.727266667,245.7576,261.5152,229.394066667,190.303,296.363533333,281.212133333,252.121266667
188.67,256.190533333,232.063466667,203.492133333,278.095266667,204.761866667,191.4286,199.365,151.111133333,249.841333333,234.603266667,209.523933333
