wavelength,Back_ThrPalm,Belly_ThrPalm,Breast_ThrPalm,Crissum_ThrPalm,Crown_ThrPalm,DorTail_ThrPalm,Patch10_ThrPalm,Patch11_ThrPalm,Rump_ThrPalm,Throat_ThrPalm,WingTip_ThrPalm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,135.555666667,19.9999666667,106.666533333,127.677586405,116.666566667,59.9999333334,93.3333333334,124.444333333,175.555466667,84.4444666666,35.5556000001
179.16,111.111133333,207.7778,124.444466667,137.446709543,70.0000333332,239.999966667,166.666733333,113.333333333,180.000133333,202.222133333,108.888733333
179.54,70.6666666667,80.6666666667,73.3333333332,60.5437908497,56.6666666667,109.666666667,94.6666666667,69.3333333333,71.3333333333,92.0,74.6666666665
179.93,62.0689333335,104.942766667,82.7586666667,53.9769633986,66.5517333333,93.9080333334,78.6205333334,34.9424,71.2643333333,125.747066667,87.5862
180.31,51.9191333333,89.2929333332,68.8889333334,41.9844026144,58.7877333334,74.8484,73.1314000002,32.9292666667,56.9696666667,107.676733333,67.2727999999
180.69,65.9046666665,95.7141333333,76.7618666668,52.3973647059,68.1905,85.0475666668,85.5236666666,52.1905999999,78.0952,119.809466667,66.2858666667
181.07,76.2318666668,143.768,86.0868666665,60.2603597385,83.4783333333,93.0434666668,113.913,71.3043333334,103.478333333,168.695666667,79.7102000001
181.45,107.5,331.666666667,113.333333333,90.2516339869,147.5,115.0,219.166666667,60.0000000001,205.833333333,388.333333333,130.833333333
181.83,81.5686,214.313733333,85.8824000001,93.8054854903,114.3138,101.764766667,143.921533334,72.9410666665,138.8236,224.705866667,112.156866667
182.21,47.1796000002,224.359166667,26.1537333336,74.8758664054,105.3847,70.7692,148.205133333,50.7692666667,128.717933333,221.5386,89.2307999997
182.59,-17.7777333334,743.333299999,-106.666599999,78.5273121574,153.3334,166.666700001,524.444399999,6.6666666674,311.111066667,768.888799999,246.666666667
182.97,81.333333334,500.0,37.3333333334,88.0261437908,117.333333334,288.666666667,409.333333333,170.666666667,333.333333333,564.000000001,233.333333333
183.35,215.999999999,557.999999999,70.6666666673,149.479738562,254.666666666,400.666666667,606.666666666,302.666666666,506.666666667,709.333333333,344.0
183.73,264.761800001,494.761766667,131.428666667,199.342704052,304.285533333,395.238066667,521.904866667,286.666399999,519.047666667,619.047666668,376.1904
184.11,129.697066667,275.4545,36.3635999999,83.9166658823,180.302966667,203.333233333,290.303,138.1818,303.6364,358.7878,224.848533333
184.49,69.4870666666,102.3076,39.4872666667,32.8275673203,88.8461333333,92.1794999999,128.718133333,51.7947333335,128.205,151.794866667,110.256466667
184.87,57.3333333333,77.6666666666,21.3333333335,-8.25490196074,71.0000000001,76.6666666667,126.333333333,32.6666666665,125.666666667,150.666666667,100.666666667
