wavelength,Back_ThrSayf,Belly_ThrSayf,Breast_ThrSayf,Crissum_ThrSayf,Crown_ThrSayf,DorTail_ThrSayf,Patch10_ThrSayf,Patch11_ThrSayf,Rump_ThrSayf,Throat_ThrSayf,WingTip_ThrSayf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,48.889,52.4445333333,61.3332666667,78.6667333333,58.6666666667,40.4446666667,51.9998666666,48.0000666666,45.5999466667,53.3334,46.6031238095
179.16,25.1852666667,7.40753333333,24.8148666667,36.2963333333,20.3704666667,3.33326666667,23.7038,24.8147333333,8.88886666668,27.4073333333,12.5397333333
179.54,33.3333333333,13.8462,59.7435666667,56.9231999999,24.6153333333,26.1538,32.3076666667,32.8205333333,34.5641066667,37.9486666667,29.4505428571
179.93,29.6528666667,12.5694666667,45.3124,59.6528,25.764,20.9028,22.0833333333,25.7638,19.8750133333,27.7082666667,29.8312761905
180.31,27.2326666667,14.4654,46.7925,60.8176,24.2767333333,19.7484,22.1382666667,24.4025333333,20.11328,27.6099333333,29.3620761905
180.69,21.0204,3.53733333334,42.8573,52.7211333333,12.585,12.9250666667,12.5850666667,13.8094666667,10.3402933333,20.2041333333,22.9058190476
181.07,16.9166666667,-3.83333333333,47.25,56.6666666666,5.16666666667,9.00000000001,6.50000000001,6.24999999999,7.53333333334,16.8333333333,22.5238095238
181.45,10.505,-11.8181333333,47.6769,59.899,-4.84853333334,0.40406666666,-2.02019999999,0.202066666666,-0.50518666664,12.9294,19.7546666667
181.83,1.93946666667,-15.2728666667,53.8181666667,60.3636666667,-11.8788666667,-15.9998666666,-10.6666666667,-9.21213333333,-6.98185333334,9.9394,10.8399619048
182.21,-29.4572666667,-44.1861333333,45.1163333333,49.9225333334,-46.8217333333,-59.5348000001,-38.4495333333,-38.4496,-37.30232,-15.1939333334,-23.2558285714
182.59,-118.611,-145.555466667,21.1110333334,21.9443999999,-144.166666667,-175.2778,-110.277866667,-144.999933333,-124.999973333,-92.2222000001,-120.277714286
182.97,-134.5454,-177.878666666,7.57576666666,-5.15153333327,-182.121266667,-231.515266667,-137.5758,-180.302933333,-141.999986667,-98.1817333333,-141.774866667
183.35,-174.736733333,-220.701733333,-35.7895666665,-41.0526666667,-224.2106,-286.315733333,-180.7018,-219.999866666,-191.298226667,-119.649133333,-183.458647619
183.73,-334.0,-448.666666667,-137.333333333,-108.0,-438.0,-560.666666667,-384.0,-454.0,-402.8,-228.666666667,-386.476190476
184.11,-1219.99993333,-1588.88893333,-727.7778,-406.666733333,-1580.00006667,-2051.1112,-1424.4444,-1657.77766667,-1434.66661333,-871.111133333,-1433.33337143
184.49,-451.666666667,-576.666666667,-311.666666667,-155.0,-600.000000001,-766.666666667,-569.166666667,-647.5,-544.166666667,-332.5,-556.190476191
184.87,-224.2858,-314.762066667,-163.095233333,-60.9523333334,-310.476266666,-395.714266667,-304.761866667,-364.7618,-280.0,-164.761866667,-289.863961905
185.25,-103.8888,-181.388733333,-90.5556000001,-19.4444666667,-170.8334,-199.166733334,-171.666666667,-188.611066667,-150.33344,-96.3888666665,-158.571409524
185.63,-72.8736000001,-140.459666667,-59.7700666666,-3.21833333326,-122.7586,-137.0114,-130.114933333,-145.057333333,-101.471213333,-63.6781333332,-101.839009524
186.01,-17.0371333333,-58.9629333332,-8.59266666666,29.7777333334,-47.5556666667,-56.5926666667,-58.9630666667,-67.4074666667,-29.12604,-2.3704,-28.4656380952
186.39,-40.6452666667,-92.473,-28.4946,25.5913333333,-76.1290666667,-91.3979333333,-95.2687333335,-113.978533333,-56.9460933333,-19.3549333334,-62.8263904762
186.77,-75.0,-178.333333333,-44.3750000001,63.7500000001,-153.333333333,-168.333333333,-183.333333333,-227.5,-96.3333333334,-41.25,-121.19047619
187.15,-34.7223333335,-108.611133333,-8.33316666674,49.9999333333,-82.2222,-97.5000000001,-105.833333333,-123.889,-34.0556666668,-11.3888666667,-64.2856666668
187.53,4.12706666674,-83.8094666667,30.6349333333,90.7936666667,-36.5079333333,-66.3492666667,-79.6825999998,-80.9524666666,11.6190133335,19.3648666666,-44.5352190476
187.91,23.4782,-67.5362666668,44.6376999999,98.5506666666,-1.44926666667,-28.9855333333,-53.9128666666,-39.9999333335,30.6086933333,31.0145333333,-22.7741904761
188.29,10.1960000002,-93.7254666667,43.9215999999,113.333333333,-1.96086666666,-74.1176666667,-96.4705999999,-68.6275333335,24.6273733334,27.0587999999,-67.7871523809
