wavelength,Back_TiaOlif,Belly_TiaOlif,Breast_TiaOlif,Crissum_TiaOlif,Crown_TiaOlif,DorTail_TiaOlif,Patch10_TiaOlif,Rump_TiaOlif,Throat_TiaOlif,WingTip_TiaOlif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,66.6667499999,88.0951666666,71.42875,77.3810833333,66.6667500001,123.8095,127.381,96.4284166666,79.7620833334,67.8570833333
179.16,111.904666667,134.523833333,114.285666667,123.809416667,113.09525,144.0475,155.952333334,145.238166667,141.666666667,138.09525
179.54,33.3333333333,33.3333333333,94.9999999999,36.6666666667,11.6666666667,41.6666666668,-30.0,-4.99999999992,15.0,20.0
179.93,18.217,1.16283333332,15.6976666667,-9.88366666667,15.6978333333,-28.101,-50.7753333333,-41.2791666668,-16.8605833333,15.31
180.31,19.51225,2.64216666668,18.4959166667,-5.69099999997,18.6990833333,-26.4227499999,-56.7072499999,-46.3414999999,-23.98375,21.3414166666
180.69,39.7435833333,33.9741666667,43.109,18.109,41.8269166667,11.2179166667,-20.3525,-15.2243333333,6.891,46.3141666666
181.07,45.7575833333,45.4543333334,48.0303333334,24.2423333333,51.2120833332,21.8183333332,-7.42433333334,-6.06083333335,18.1818333333,59.2425833333
181.45,46.3635833333,42.8788333333,40.3031666667,21.6668333333,53.6362500001,18.6363333333,-8.33333333333,-6.81816666667,13.6363333333,65.1515
181.83,34.4961666667,39.3409166666,27.13175,11.2401666666,50.1936666667,11.0465,-34.1086666667,-33.5271666667,-6.39533333332,66.8605
182.21,36.11125,49.7863333334,24.5725833333,13.2479166667,53.4187499999,16.4529166667,-42.5213333333,-37.3929166667,-9.82908333332,71.3673333333
182.59,36.9565833333,41.3043333334,18.84075,7.06525,47.6448333333,17.9348333333,-38.587,-30.6160833333,-3.98558333333,59.4203333334
182.97,36.1979166667,42.96875,-3.90625000003,-7.29166666666,52.6041666666,11.4583333333,-74.9999999999,-59.3750000001,-17.9687500001,67.7083333332
183.35,70.3125000001,73.4374999999,-35.4166666667,-52.0833333332,85.4166666668,22.3958333334,-153.645833333,-104.6875,-43.2291666667,101.5625
183.73,55.6451666667,51.8816666667,-17.742,-20.9676666668,46.5054166667,15.0538333333,-64.785,-49.9999999999,-3.49458333342,62.6343333334
184.11,43.0555833333,33.3334166666,-20.3125833333,-7.81233333333,32.1180833333,8.33333333332,-37.6736666666,-29.34025,-2.25691666667,38.5415833333
184.49,45.1878333333,34.9766666667,-4.57750000001,7.27708333332,28.6385,13.0281666667,-15.4928333333,-7.27708333332,4.81200000002,34.85925
184.87,51.8018333334,42.79275,-0.337916666658,10.1350833333,32.20725,19.5946666667,-4.72975000002,-1.12608333332,11.4865,38.9639166667
185.25,58.2316666667,47.2560833333,11.6869166667,16.87,37.70325,25.6098333333,6.70725,10.2641666667,17.2765833333,47.8659166667
185.63,54.3289166667,40.1516666667,9.19908333332,7.03466666665,31.6015833333,16.8831666667,1.08233333332,7.03466666666,10.4978333333,44.0475833333
186.01,62.3063333333,46.0271666666,23.35275,22.3836666667,40.60075,27.4225833334,15.3101666667,21.80225,22.7715,54.2635833333
186.39,62.1856666667,45.4400833333,31.6824166666,29.7169166666,42.8458333333,33.88375,21.9340833333,27.9088333333,26.5723333333,51.1006666667
186.77,57.4858333333,40.81925,29.51975,29.096,39.548,28.8841666667,18.99725,20.55075,22.2458333333,45.9746666667
187.15,49.5333333333,33.3333333333,26.9333333333,21.3333333333,37.0666666667,26.1333333333,13.3333333333,17.4666666667,16.0666666667,43.0
187.53,47.441,33.4646666667,28.21525,21.0629166667,38.0576666667,28.4776666667,14.5668333333,17.782,16.79775,43.3728333333
187.91,46.0871666666,33.33325,30.2898333333,20.0725,41.6665833333,31.3766666666,12.6810833333,16.8115833333,21.1594166667,46.44925
188.29,46.8390833333,33.4770833333,29.38225,22.0545833333,43.2471666667,29.6695833333,12.4283333333,17.6724166667,22.7010833333,46.6235833333
188.67,40.3439166667,29.03425,21.0978333333,17.9231666667,38.55825,23.0820833334,8.26708333333,13.1614166667,18.12175,37.8305833333
189.05,41.5450833333,30.292,20.7419166667,20.0121666667,39.416,26.034,10.2188333333,12.713,20.2554166667,35.9488333334
189.43,42.37725,30.9433333333,17.1835,15.7621666667,40.37475,24.5476666666,10.7234166667,11.1110833333,20.0904166667,34.5605833333
189.81,43.82175,32.7586666667,14.4395833333,10.7758333334,42.026,24.5690833333,9.55466666665,12.6435833333,22.7730833333,40.6608333333
190.19,46.0785,37.0448333333,19.8180833333,16.3165,47.269,29.6219166666,12.95525,20.51825,30.46225,48.3894166666
190.57,51.4938333333,39.8585,20.44025,16.8239166667,52.5943333333,28.302,11.8710833333,22.72,32.154,48.2704166667
190.95,53.5854166667,36.6278333333,13.4690833333,7.36441666666,52.8100833333,21.2210833333,0.387583333332,17.92625,30.1356666667,48.5465
191.33,56.17975,35.0186666667,13.5766666667,4.49425000001,51.87275,20.31825,-0.842666666675,17.2284166667,26.1235,46.6291666667
191.71,42.9411666667,19.21575,-0.980500000003,-13.2353333333,38.9215833334,8.23549999999,-19.8040833333,-1.0785,8.82341666665,32.255
192.09,40.5555,16.5554166667,-9.44450000001,-20.4445833333,35.2221666667,8.11116666667,-28.5555,-7.99991666667,5.77783333332,33.0
192.47,44.8171666667,20.6300833333,-2.23575,-11.5853333333,39.73575,12.0935,-16.6665833333,-0.609583333317,14.5324166667,40.0405833333
192.85,38.2303333333,21.22,2.57741666667,-5.06875,36.2541666667,15.2061666667,-14.3471666667,2.749,15.2919166666,38.9175
193.23,42.8374166667,25.8953333333,13.7741666667,7.23133333333,35.8815833333,22.6583333333,-1.92833333333,9.36625000002,21.6253333333,40.5645833333
