wavelength,Back_TiaOlim,Belly_TiaOlim,Breast_TiaOlim,Crissum_TiaOlim,Crown_TiaOlim,DorTail_TiaOlim,Patch10_TiaOlim,Rump_TiaOlim,Throat_TiaOlim,WingTip_TiaOlim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,75.2381333333,69.5237333334,62.8570666667,95.238,73.3334,50.4763333333,75.0001666667,80.0000666667,92.381,36.1903333333
179.16,108.571466667,91.4285333333,100.952466667,121.904933333,123.809533333,59.0475333334,109.523833333,102.857133333,120.000066667,93.3333333333
179.54,32.0,65.3333333333,56.0,39.9999999999,43.9999999999,98.6666666665,23.3333333333,33.3333333333,27.9999999999,49.3333333334
179.93,-1.70553333334,23.5658666666,-4.34106666666,15.9690666667,12.8682666667,59.9998666667,2.90708333343,-6.66660000001,12.8682,19.6899333333
180.31,4.87813333333,23.4145333333,6.66666599997e-05,24.3901333333,19.1870000001,73.1708000001,4.268,-2.1138,22.9269333333,25.0407999999
180.69,30.8974666667,46.6666666667,22.9488,49.9999999999,42.9488,86.2820666667,36.37825,31.2821333333,48.2052,39.2307999999
181.07,36.3637333333,54.303,28.9696666667,60.6061333334,49.9393333333,89.3333999999,47.7273333333,31.8788666667,53.9394666667,43.7576666667
181.45,35.2726,52.6061333334,27.3940666667,58.9092,49.3333333333,84.9695333333,56.0605833334,31.0302666667,55.9998666667,45.6968666667
181.83,23.876,40.1552000001,17.3642666667,54.4186000001,44.1859333334,91.4729333334,52.3255833333,20.7750666667,48.8372,37.3642666667
182.21,36.7521333333,43.5898,21.5384666667,55.2137333333,47.8632666668,98.8033333333,55.7693333333,24.1024666667,45.2989333334,34.8718666667
182.59,37.971,32.8984666667,27.2464,54.0579333333,42.0289999999,78.8406,52.7172499999,15.6521333333,36.9566,26.9563999999
182.97,40.4166666667,31.6666666667,33.7500000001,67.9166666667,32.0833333333,100.625,69.53125,1.45833333334,33.125,27.2916666667
183.35,81.6666666669,42.9166666667,72.9166666666,119.583333333,34.1666666667,198.75,148.4375,-2.9166666666,40.4166666666,47.5000000001
183.73,46.6667333334,39.7849333334,44.9460666667,64.7311333333,16.9893333333,110.967866667,80.64525,1.29026666667,10.1076,30.5376666667
184.11,27.6389333333,20.9722000001,30.4166,40.9721333332,9.16666666666,71.5278000001,41.6665833333,-5.41673333333,-1.66659999999,19.3054666667
184.49,29.3896,18.6855333333,30.7980666667,37.1832,15.3052666667,59.5306666667,38.3800833333,13.3333333333,9.4836,23.0046
184.87,34.7748,23.8738,38.3784,47.4775333333,20.901,68.6486666666,39.1891666667,18.1982666667,10.2702666667,26.8469333333
185.25,42.6828,33.252,44.9593333333,53.3332666667,26.3414666667,70.5691333334,45.2235833333,27.4796666667,16.0163333333,35.935
185.63,34.9783333334,30.3896,41.9047333333,49.8701333333,23.5499333333,64.7619333334,42.20775,24.329,12.2078666667,37.5758
186.01,39.2248,42.248,51.7053333333,58.2945333333,36.0464,71.8604666666,49.80625,35.8914,19.9225333333,47.8295333333
186.39,39.7484,44.3396666667,52.1384,58.0504,44.8428,65.0314666667,48.2704166667,41.824,25.0314,46.3521333333
186.77,35.7064,40.2261333333,47.6837333333,54.7457333334,43.3898,55.2542,42.726,36.4406666666,22.2033333333,40.9039333333
187.15,29.76,35.68,44.48,52.3733333333,38.9333333333,49.44,41.1333333333,31.4666666667,18.9866666667,36.6933333333
187.53,32.5984,38.3725333333,46.8241333333,55.4856,41.5222666667,49.8162666667,45.8660833333,32.3884666667,19.4749333333,38.5826
