wavelength,Back_TriMelm,Belly_TriMelm,Breast_TriMelm,Crissum_TriMelm,Crown_TriMelm,DorTail_TriMelm,Patch10_TriMelm,Rump_TriMelm,Throat_TriMelm,WingTip_TriMelm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,37.1428666667,29.5238666667,8.57146666666,15.2382,32.3809333333,4.76193333334,62.8570666667,60.9522666667,32.3811333333,26.6667333333
179.16,14.3590666667,16.4102666667,-11.2820666667,10.7692666667,18.9743333333,2.56413333334,37.4359333333,12.3076666667,23.0769333333,17.4359333333
179.54,20.0,1.33333333333,-42.6666666667,-21.3333333334,5.33333333334,-27.3333333333,-7.99999999999,-28.6666666667,5.33333333331,10.0
179.93,24.3882,9.19826666667,-18.1435333333,-7.59493333332,20.0001333333,-7.84806666666,18.1435333334,18.9874666667,10.9704666667,34.7678666667
180.31,20.0966666667,1.35266666667,-36.0386666667,-18.8406,15.2656666667,-18.9371333333,12.8502666667,11.0144666667,7.14973333332,32.8503333334
180.69,16.7232,-13.1073333333,-55.7062666667,-30.7346,5.87573333334,-32.4294,1.12986666666,-5.87566666666,-2.82473333334,33.1072
181.07,-4.4444,-54.1880666667,-102.735066667,-75.8974,-23.4188666667,-75.7265333334,-36.7522666667,-37.0939333334,-35.7264,25.4701333333
181.45,-25.5172,-94.9426000001,-145.747133333,-117.0116,-47.1264666666,-109.195466667,-60.6896666666,-58.6206666667,-65.9769999999,16.7814666667
181.83,-13.8211333333,-57.561,-89.1057999999,-66.6666666667,-19.0244,-58.0486666667,-28.1300666667,-22.6015333333,-36.4228,24.5529333334
182.21,-15.3536,-67.8788,-107.070666667,-66.6667333333,-15.1515333333,-50.7070666665,-28.2827333333,-17.9796666667,-30.9090666667,48.2828
182.59,-446.666666667,-778.666666666,-1097.33333333,-671.999999999,-508.000000001,-677.333333333,-530.666666667,-525.333333334,-498.666666667,-77.3333333334
182.97,160.784466667,269.8038,340.392066667,201.1766,170.196066667,212.156933333,176.862666667,195.294066667,158.0392,61.1765999999
183.35,264.444333334,451.1112,557.7778,290.3704,226.666733333,280.0,227.407333333,322.2222,251.111133333,43.7037333333
183.73,368.889,692.222200001,788.889066667,383.3334,240.0,348.8888,258.888933333,403.3332,385.5554,11.1109999999
184.11,-461.666666667,-915.000000001,-1020.0,-463.333333334,-135.0,-363.333333333,-235.0,-431.666666667,-465.0,51.6666666667
184.49,-66.2745333334,-174.5098,-221.960733333,-66.2744000001,12.5489999999,-44.7059333332,-1.56859999994,-57.6470666666,-87.0588666667,44.3136
184.87,-116.969933333,-283.6364,-367.2726,-101.818266667,5.45460000008,-69.6970666667,-6.66666666674,-67.2726666667,-157.575666667,75.7576666667
185.25,175.151466667,367.878866667,430.303133333,178.1818,59.3938666666,137.575733333,87.272666667,160.606066667,227.8788,-8.48486666666
185.63,930.0,2043.33333333,2236.66666667,963.333333335,323.333333333,1056.66666667,646.666666667,999.999999999,1390.0,156.666666667
186.01,-165.333333333,-380.0,-398.0,-176.0,-11.9999999999,-182.666666667,-111.333333333,-194.666666667,-278.0,-8.0
186.39,586.666666667,985.333333333,1086.66666667,637.333333333,286.666666667,650.666666666,460.0,630.666666667,906.666666666,278.666666667
186.77,119.2594,206.172933333,217.7778,134.320933333,79.5060666667,139.012266667,95.0617333333,134.568,187.1604,68.8889333333
187.15,101.052533334,155.0878,156.315866667,105.614,79.8244666667,110.701733333,81.9299333333,108.2456,147.017533333,61.4035333333
187.53,85.7310666667,116.725133333,118.245666666,81.4034666667,72.0467333333,85.6139333335,71.4619333333,82.9239333334,112.163733333,50.1754
187.91,70.9091333334,91.6884666667,91.8614666667,65.4544000001,58.7878,69.6104666667,62.3375333333,69.9565333333,89.4372666667,43.8961333333
188.29,75.2135333333,92.9914666668,91.1110666666,65.0427333333,56.6666666667,72.6494666667,65.2992,74.9572,92.8204000001,47.2650666667
188.67,82.2222666667,94.7862666665,96.0684,66.1538,58.889,74.6153999999,67.8633333333,72.4787333333,95.2991333333,48.7180666667
189.05,83.7363333333,92.8205333333,97.3625333331,70.4761333333,64.0293333333,70.3296666667,69.1574,74.4323333333,96.8498666668,57.8023333333
189.43,89.9607999999,101.098066667,106.901866667,75.2155333333,71.6078666667,73.8823999999,76.3922,76.2351999999,101.490133333,63.8431333334
189.81,96.923,111.623933333,117.1794,82.6495333334,79.4016666666,82.9060666667,88.1197333334,85.5556666665,111.624,71.9658000001
190.19,104.367866667,117.088133333,120.076666667,92.4904666666,88.0460000001,95.0192,103.371666667,97.3946666667,116.9348,84.5976
190.57,117.435866667,128.547,140.769266667,107.435933333,97.0939999999,109.3162,123.675133333,110.341866667,133.162333333,97.8633333334
