Summary Statistic	Intercept.diffusionRate	Coefficient.29.diffusionRate	Coefficient.9.diffusionRate	Coefficient.31.diffusionRate	Coefficient.30.diffusionRate	Coefficient.15.diffusionRate	Coefficient.37.diffusionRate	Coefficient.14.diffusionRate	Coefficient.36.diffusionRate	Coefficient.17.diffusionRate	Coefficient.16.diffusionRate	Coefficient.38.diffusionRate	Coefficient.11.diffusionRate	Coefficient.33.diffusionRate	Coefficient.10.diffusionRate	Coefficient.32.diffusionRate	Coefficient.13.diffusionRate	Coefficient.35.diffusionRate	Coefficient.12.diffusionRate	Coefficient.34.diffusionRate	Coefficient.19.diffusionRate	Coefficient.18.diffusionRate	Coefficient.20.diffusionRate	Coefficient.8.diffusionRate	Coefficient.26.diffusionRate	Coefficient.7.diffusionRate	Coefficient.25.diffusionRate	Coefficient.6.diffusionRate	Coefficient.28.diffusionRate	Coefficient.5.diffusionRate	Coefficient.27.diffusionRate	Coefficient.4.diffusionRate	Coefficient.22.diffusionRate	Coefficient.3.diffusionRate	Coefficient.21.diffusionRate	Coefficient.2.diffusionRate	Coefficient.24.diffusionRate	Coefficient.1.diffusionRate	Coefficient.23.diffusionRate
mean	0.7889	1.7874	0.5418	1.826	1.7982	0.8174	1.7082	0.7457	1.7278	0.9794	0.9074	1.6831	0.6052	1.8127	0.5782	1.8242	0.7045	1.7676	0.6662	1.8124	1.3761	1.1441	1.5738	0.4596	1.7893	0.41	1.8305	0.3139	1.7516	0.248	1.7626	0.2078	1.8698	0.1607	1.7365	0.141	1.9027	0.0847	1.9051
stderr of mean	7.4599E-4	1.6968E-3	5.3323E-4	1.7192E-3	1.6886E-3	7.2804E-4	1.6012E-3	6.5697E-4	1.6297E-3	9.1573E-4	8.1902E-4	1.5838E-3	5.5716E-4	1.7893E-3	5.7773E-4	1.722E-3	6.3682E-4	1.6884E-3	6.0489E-4	1.7948E-3	1.2015E-3	1.0405E-3	1.3426E-3	4.5214E-4	1.6075E-3	4.0954E-4	1.6243E-3	2.9559E-4	1.709E-3	2.3044E-4	1.5942E-3	1.9842E-4	1.639E-3	1.5071E-4	1.4869E-3	1.5355E-4	1.6878E-3	7.9451E-5	1.6759E-3
stdev	0.0693	0.1584	0.0505	0.1631	0.159	0.0681	0.1519	0.0623	0.1546	0.0869	0.0777	0.1479	0.0529	0.1657	0.0534	0.1634	0.0604	0.1571	0.0574	0.1641	0.114	0.0987	0.1274	0.0429	0.1525	0.0389	0.1541	0.028	0.1531	0.0217	0.1513	0.0182	0.1555	0.014	0.1411	0.0144	0.1601	7.5383E-3	0.159
variance	4.798E-3	0.0251	2.5525E-3	0.0266	0.0253	4.6422E-3	0.0231	3.8854E-3	0.0239	7.5488E-3	6.0385E-3	0.0219	2.7945E-3	0.0274	2.8497E-3	0.0267	3.6507E-3	0.0247	3.2938E-3	0.0269	0.013	9.7455E-3	0.0162	1.8403E-3	0.0233	1.5098E-3	0.0238	7.8654E-4	0.0235	4.7245E-4	0.0229	3.3159E-4	0.0242	1.9613E-4	0.0199	2.0831E-4	0.0256	5.6825E-5	0.0253
median	0.7838	1.7744	0.5374	1.8121	1.783	0.8124	1.6958	0.7394	1.7142	0.9728	0.9009	1.6699	0.601	1.7973	0.5732	1.8083	0.6994	1.7537	0.6618	1.7981	1.3653	1.1344	1.5622	0.4557	1.7754	0.4075	1.8185	0.3114	1.7394	0.2464	1.7482	0.2063	1.8569	0.1594	1.7243	0.1399	1.8895	0.0839	1.8902
value range	[0.5862, 1.1051]	[1.3536, 2.4627]	[0.3949, 0.7961]	[1.3957, 2.8119]	[1.353, 2.5747]	[0.6132, 1.155]	[1.3346, 2.5223]	[0.5575, 1.1383]	[1.2808, 2.5323]	[0.7361, 1.3948]	[0.6956, 1.3639]	[1.2495, 2.4557]	[0.4481, 0.919]	[1.383, 2.7605]	[0.4268, 0.8909]	[1.413, 2.6264]	[0.5319, 1.0384]	[1.3141, 2.6808]	[0.5056, 0.9925]	[1.3596, 2.7901]	[1.0594, 2.1527]	[0.8812, 1.609]	[1.2331, 2.4099]	[0.3397, 0.7508]	[1.3618, 2.582]	[0.2934, 0.5886]	[1.3901, 2.8393]	[0.2327, 0.4463]	[1.3274, 2.5137]	[0.1865, 0.3428]	[1.3686, 2.5505]	[0.1531, 0.295]	[1.4358, 2.7609]	[0.1198, 0.2386]	[1.3602, 2.5605]	[0.1006, 0.2095]	[1.4802, 2.8253]	[0.0649, 0.1245]	[1.4622, 2.8717]
geometric mean	0.7859	1.7806	0.5394	1.8189	1.7914	0.8146	1.7016	0.7431	1.7211	0.9756	0.9042	1.6768	0.603	1.8053	0.5758	1.817	0.702	1.7608	0.6637	1.8051	1.3715	1.1399	1.5688	0.4577	1.7829	0.4082	1.8241	0.3127	1.745	0.2471	1.7563	0.207	1.8635	0.1601	1.7309	0.1403	1.8961	0.0843	1.8986
95% HPD interval	[0.6606, 0.9279]	[1.489, 2.0971]	[0.4487, 0.6443]	[1.525, 2.1411]	[1.5113, 2.1256]	[0.6904, 0.9519]	[1.4325, 2.0137]	[0.6309, 0.8687]	[1.4398, 2.0346]	[0.8208, 1.1607]	[0.7644, 1.0632]	[1.4146, 1.9803]	[0.5094, 0.7123]	[1.5285, 2.1622]	[0.4813, 0.6855]	[1.5294, 2.1508]	[0.5959, 0.8276]	[1.487, 2.0933]	[0.5639, 0.7838]	[1.5148, 2.152]	[1.1616, 1.5928]	[0.963, 1.3485]	[1.3339, 1.8247]	[0.3785, 0.5424]	[1.5126, 2.0913]	[0.3355, 0.4858]	[1.542, 2.1336]	[0.2599, 0.368]	[1.4656, 2.0517]	[0.208, 0.2914]	[1.4853, 2.0696]	[0.1727, 0.2432]	[1.5785, 2.1758]	[0.1355, 0.1895]	[1.4714, 2.0111]	[0.1151, 0.171]	[1.6018, 2.2081]	[0.0701, 0.0989]	[1.6133, 2.2168]
auto-correlation time (ACT)	1044.1002	1032.6043	1002.7876	1000	1014.7607	1027.8396	1000	1000	1000	1000	1000	1032.6485	1000	1050.3148	1054.3566	1000	1000	1039.5156	1000	1076.7122	1000	1000	1000	1000	1000	1000	1000	1000	1121.1104	1011.8213	1000	1068.8329	1000	1042.5656	1000	1018.8544	1000	1000	1000
effective sample size (ESS)	8620.8	8716.8	8976	9001	8870.1	8757.2	9001	9001	9001	9001	9001	8716.4	9001	8569.8	8537	9001	9001	8658.8	9001	8359.7	9001	9001	9001	9001	9001	9001	9001	9001	8028.6	8895.8	9001	8421.3	9001	8633.5	9001	8834.4	9001	9001	9001
number of samples	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001	9001
